Chemical_Name_Filled,1위,1위_count,2위,2위_count
XX54,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOCCO,1,,
XX55,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
XX56,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(CO)CO,1,,
XX57,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(C)CO,1,,
XX58,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
XX59,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
XX60,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCC1CC1CCCC)CCC1CC1CCCC,1,,
XX61,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
XX62,CCCCCCCCC(CCCCCCCC)C(=O)OCCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
XX63,CCCCCCCCCOC(=O)C(C)CCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
XX64,CCCCCCCCCOC(=O)C(C)CCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
XX65,CCCCCCCCCC(=O)OC(C)CCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
XX66,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)O,1,,
XX67,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)O,1,,
XX68,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=N/C#N)N(C)C,1,,
XX69,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNc1c(N(C)C)c(=O)c1=O,1,,
XX70,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=C/[N+](=O)[O-])NC,1,,
XX71,CCCCCCCCCC(C)(O)CCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
XX73,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN(C)S(C)(=O)=O,1,,
XX74,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN1C(=O)CNC1=O,1,,
XX75,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCOC(=O)NC,1,,
XX76,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN1C(=O)CCC1=O,1,,
XX77,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc(COC(C)(C)C)nn1,1,,
XX78,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)COC,1,,
XX79,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc([Si](C)(C)C)nn1,1,,
XX81,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)OC,1,,
XX82,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNc1c(NC)c(=O)c1=O,1,,
XX83,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(COCCCCCC)COCCCCCC,1,,
XX84,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCC(C)CCCCCCC,1,,
XX85,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC,1,,
XX86,CCCCCCCOC(=O)CCCCCCCCCN(CCO)CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC,1,,
XX89,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCCCC(=O)OCCCCCCC,1,,
XX94,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)C(C)C,1,,
XX97,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)COCc1ccccc1,1,,
XX98,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)CO,1,,
