Name_Number,1위,1위_count,2위,2위_count
74,CCCCCCCCC(CCC)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN1C(=O)CNC1=O,1.0
75,CCCCCCCCC(CC)OC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCOC(=O)NC,1.0
76,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN1C(=O)CCC1=O,1,,
77,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc(COC(C)(C)C)nn1,1,,
78,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)COC,1,,
79,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(CCCCC)CC1,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc([Si](C)(C)C)nn1,1.0
80,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(C2CCCCC2)CC1,1,,
81,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)OC,1,,
82,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNc1c(NC)c(=O)c1=O,1,,
83,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(COCCCCCC)COCCCCCC,1,,
84,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCC(C)CCCCCCC,1,,
85,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC,1,,
86,CCCCCCCOC(=O)CCCCCCCCCN(CCO)CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC,1,,
89,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCCCC(=O)OCCCCCCC,1,,
94,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)Cc1ccccc1,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)C(C)C,1.0
96,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
97,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)COCc1ccccc1,1,,
98,CCCCCCCCCC(=O)OC(C)CCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)CO,1.0
